name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2016-11-25,2016,6472,1610612738,400899675,3,2,39,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",-53,244,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,1,9,43,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",192,151,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,2,9,47,1,"Jump Shot","3PT Field Goal",24,"New York Knicks",101,223,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,4,1,40,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",-122,213,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,4,2,48,0,"Jump Shot","2PT Field Goal",8,"Chicago Bulls",-25,85,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-27,2016,6472,1610612738,400900118,2,3,57,0,"Jump Shot","3PT Field Goal",25,"Orlando Magic",168,188,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-27,2016,6472,1610612738,400900118,3,8,18,0,"Jump Shot","3PT Field Goal",26,"Orlando Magic",133,228,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-27,2016,6472,1610612738,400900118,2,2,41,0,"Jump Shot","3PT Field Goal",27,"Orlando Magic",-202,180,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-03,2016,6472,1610612738,400900156,4,9,18,0,"Jump Shot","3PT Field Goal",27,"Los Angeles Lakers",45,268,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,0,00,0,"Jump Shot","3PT Field Goal",27,"Detroit Pistons",84,259,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-02,2016,6472,1610612738,400899447,2,0,59,0,"Jump Shot","3PT Field Goal",22,"Sacramento Kings",228,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-02,2016,6472,1610612738,400899447,3,8,25,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",181,183,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-02,2016,6472,1610612738,400899447,2,1,03,0,"Jump Shot","2PT Field Goal",4,"Sacramento Kings",-19,41,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,2,4,31,0,"Jump Shot","2PT Field Goal",3,"Detroit Pistons",-35,16,0,0.00,,0.00,0.00
